"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Remove from Cart","3","0","Removing one item leaves other cart items intact","0"
"0","","0","Performance Glitch User","3","0","Login completes within extended timeout despite server delay","0"
"0","","0","Sorting","3","0","Name Z→A sort produces reverse alphabetical order","0"
"0","","0","Add to Cart","3","0","All added items appear in cart list","0"
"0","","0","Order Summary","3","0","Item total, tax (8%), and final total are mathematically correct","0"
"0","","0","Login","3","0","Valid credentials grant access","0"
"0","","0","Logout","3","0","Authenticated user can log out","0"
"0","","0","Performance Glitch User","3","0","Inventory loads with all products after slow login","0"
"0","","0","Performance Glitch User","3","0","Add to Cart action succeeds despite response delay","0"
"0","","0","Session","3","0","Browser back after logout does not restore authenticated session","0"
"0","","0","Validation","3","0","Missing first name blocks checkout progress","0"
"0","","0","Validation","3","0","Missing last name blocks checkout progress","0"
"0","","0","Listing","3","0","All product images load correctly for standard_user","0"
"0","","0","Sorting","3","0","Price Low→High sort produces ascending price order","0"
"0","","0","Purchase","3","0","Full purchase flow with multiple items completes successfully","0"
"0","","0","Login","3","0","SQL injection in username does not grant access","0"
"0","","0","Sorting","3","0","Name A→Z sort produces alphabetical order","0"
"0","","0","Login","3","0","XSS payload in username does not grant access or execute script","0"
"0","","0","Error User","3","0","error_user add-to-cart may trigger error — known defect","0"
"0","","0","Sorting","3","0","Price High→Low sort produces descending price order","0"
"0","","0","Login","3","0","Wrong password shows error","0"
"0","","0","Session","3","0","Direct URL access without session redirects to login","0"
"0","","0","Validation","3","0","Missing postal code blocks checkout progress","0"
"0","","0","Order Summary","3","0","Multi-item subtotal, tax, and total are mathematically correct","0"
"0","","0","Login","3","0","Empty username shows username required error","0"
"0","","0","Login","3","0","Inventory page title is shown after login","0"
"0","","0","Confirmation","3","0","Back Home button navigates to inventory after order","0"
"0","","0","Remove from Cart","3","0","Removing an item decrements the cart badge","0"
"0","","0","Remove from Cart","3","0","Add to Cart button reappears after item removal","0"
"0","","0","Login","3","0","Both fields empty shows username required error first","0"
"0","","0","Validation","3","0","All empty fields blocks checkout — first name validated first","0"
"0","","0","Error User","3","0","error_user checkout form submission fails — known defect","0"
"0","","0","Login","3","0","Empty password shows password required error","0"
"0","","0","Listing","3","0","All products have visible price labels","0"
"0","","0","Order Summary","3","0","Payment and shipping info are shown correctly on review page","0"
"0","","0","Remove from Cart","3","0","Cart is empty after removing the only item","0"
"0","","0","Visual Regression","3","0","problem_user sees broken/mismatched product images (known defect)","0"
"0","","0","Login","3","0","Error banner can be closed","0"
"0","","0","Error User","3","0","error_user remove-from-cart silently fails — known defect","0"
"0","","0","Sorting","3","0","Switching sort options re-orders the list correctly","0"
"0","","0","Listing","3","0","Product names match expected catalogue","0"
"0","","0","Visual Regression","3","0","standard_user sees 6 distinct product images","0"
"0","","0","Add to Cart","3","0","Added item appears in cart with correct details","0"
"0","","0","Cart Persistence","3","0","Cart items survive navigation to inventory and back","0"
"0","","0","Validation","3","0","Checkout error banner can be dismissed","0"
"0","","0","Purchase","3","0","Cart is empty after order completion","0"
"0","","0","Confirmation","3","0","Confirmation screen shows correct header, message, image, and button","0"
"0","","0","Error User","3","0","error_user can login and view inventory","0"
"0","","0","Add to Cart","3","0","Cart badge reflects item count after adding one item","0"
"0","","0","Cart Persistence","3","0","Cart items survive a full page reload","0"
"0","","0","Listing","3","0","All 6 products are shown","0"
"0","","0","Session","3","0","Session persists across page navigation","0"
"0","","0","Login","3","0","Locked out user cannot login","0"
"0","","0","Add to Cart","3","0","Cart badge reflects correct count after adding multiple items","0"
"0","","0","Purchase","3","0","Full purchase flow completes successfully","0"
