"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1757","should fail to proceed past checkout step one — documents known defect @regression","webkit","2026-03-25","passed","2026-03-25","Performance & Resilience > error_user Failure States","Performance & Resilience","",""
"","1047","should sort products by Name A→Z @smoke @regression","chromium","2026-03-25","passed","2026-03-25","Product Catalog > Sorting","Product Catalog","",""
"","2363","should display correct payment and shipping information on order review @regression","webkit","2026-03-25","passed","2026-03-25","Checkout Flow > Order Summary Verification","Checkout Flow","",""
"","2521","should navigate back to inventory from confirmation screen @regression","webkit","2026-03-25","passed","2026-03-25","Checkout Flow > Confirmation Screen","Checkout Flow","",""
"","2109","should persist session when navigating between pages @regression","webkit","2026-03-25","passed","2026-03-25","Authentication > Session & Logout","Authentication","",""
"","990","should not authenticate with SQL injection payload @regression @security","chromium","2026-03-25","passed","2026-03-25","Authentication > Invalid Credentials","Authentication","",""
"","1840","should sort products by Name A→Z @smoke @regression","webkit","2026-03-25","passed","2026-03-25","Product Catalog > Sorting","Product Catalog","",""
"","2122","should log out successfully and return to login page @smoke @regression","chromium","2026-03-25","passed","2026-03-25","Authentication > Session & Logout","Authentication","",""
"","626","should redirect unauthenticated user to login when accessing inventory directly @regression","chromium","2026-03-25","passed","2026-03-25","Authentication > Session & Logout","Authentication","",""
"","1385","should not authenticate with SQL injection payload @regression @security","webkit","2026-03-25","passed","2026-03-25","Authentication > Invalid Credentials","Authentication","",""
"","1501","should sort products by Price Low→High @regression","firefox","2026-03-25","passed","2026-03-25","Product Catalog > Sorting","Product Catalog","",""
"","1442","should allow error banner to be dismissed @regression","webkit","2026-03-25","passed","2026-03-25","Authentication > Invalid Credentials","Authentication","",""
"","1221","should show error for empty password @regression","firefox","2026-03-25","passed","2026-03-25","Authentication > Invalid Credentials","Authentication","",""
"","2222","should clear the cart after a successful order @regression","firefox","2026-03-25","passed","2026-03-25","Checkout Flow > Successful Purchase","Checkout Flow","",""
"","917","should fail to proceed past checkout step one — documents known defect @regression","chromium","2026-03-25","passed","2026-03-25","Performance & Resilience > error_user Failure States","Performance & Resilience","",""
"","2168","should persist cart items after page reload @regression","firefox","2026-03-25","passed","2026-03-25","Shopping Cart > Cart Persistence","Shopping Cart","",""
"","1484","should remove an item from the cart and update badge @smoke @regression","firefox","2026-03-25","passed","2026-03-25","Shopping Cart > Remove from Cart","Shopping Cart","",""
"","2362","should display mathematically correct order summary for a single item @regression","webkit","2026-03-25","passed","2026-03-25","Checkout Flow > Order Summary Verification","Checkout Flow","",""
"","1787","should sort products by Price High→Low @regression","webkit","2026-03-25","passed","2026-03-25","Product Catalog > Sorting","Product Catalog","",""
"","2056","should update cart badge when a single item is added @smoke @regression","webkit","2026-03-25","passed","2026-03-25","Shopping Cart > Add to Cart","Shopping Cart","",""
"","6791","should complete login successfully despite response delay @smoke @regression @performance","webkit","2026-03-25","passed","2026-03-25","Performance & Resilience > performance_glitch_user","Performance & Resilience","",""
